id	license	rightsHolder	institutionCode	collectionCode	basisOfRecord	occurrenceID	recordNumber	organismQuantity	organismQuantityType	occurrenceStatus	eventDate	year	month	day	countryCode	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	scientificName	kingdom	phylum	class	order	family	taxonRank	vernacularName
MST-DK-invasives-196	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-196	196			PRESENT	2016-10-14	2016	10	14	DK	55.08705472	14.70287303		Neovison vison, (Schreber, 1777)	Animalia 	Chordata 	Mammalia 	Carnivora 	Mustelidae 	SPECIES	Mink
MST-DK-invasives-199	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-199	199			PRESENT	2016-10-17	2016	10	17	DK	55.38218119	9.22766139		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-200	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-200	200			PRESENT	2016-10-17	2016	10	17	DK	55.37989685	9.224504457		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-201	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-201	201			PRESENT	2016-10-17	2016	10	17	DK	55.3626571	9.20463092		Reynoutria sachalinensis, (F. Schmidt ex Maxim.) Nakai	Plantae 	Magnoliophyta	Magnoliopsida 	Caryophyllales	Polygonaceae 	SPECIES	Kæmpe-pileurt
MST-DK-invasives-202	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-202	202			PRESENT	2016-10-17	2016	10	17	DK	55.376934	9.220409865		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-203	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-203	203			PRESENT	2016-10-17	2016	10	17	DK	57.5731654	9.943384472		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-204	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-204	204			PRESENT	2016-10-17	2016	10	17	DK	55.51351535	9.370337923		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-205	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-205	205			PRESENT	2016-10-17	2016	10	17	DK	55.53245451	9.397544535		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-206	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-206	206			PRESENT	2016-09-03	2016	09	03	DK	56.67009479	9.947729778		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-207	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-207	207			PRESENT	2016-08-05	2016	08	05	DK	55.54622165	8.143295732		Myocastor coypus, (Molina, 1782)	Animalia 	Chordata	Mammalia 	Rodentia	Myocastoridae	SPECIES	Sumpbæver
MST-DK-invasives-209	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-209	209			PRESENT	2016-10-01	2016	10	01	DK	56.37426124	8.565115529		Arion vulgaris Moquin-Tandon, 1855	Animalia 	Mollusca 	Gastropoda 	Stylommatophora	Arionidae	SPECIES	Dræbersnegl
MST-DK-invasives-210	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-210	210			PRESENT	2016-07-20	2016	07	20	DK	56.51299184	10.52335358		Mnemiopsis leidyi, A. Agassiz, 1870	Animalia 	Ctenophora 	Tentaculata	Lobata	Bolinopsidae	SPECIES	Amerikansk ribbegople
MST-DK-invasives-212	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-212	212			PRESENT	2016-10-17	2016	10	17	DK	54.87133036	9.392020073		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-215	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-215	215			PRESENT	2016-09-17	2016	09	17	DK	55.72425093	8.208118663		Prunus serotina, Ehrh.	Plantae 	Magnoliophyta 	Magnoliopsida 	Rosales 	Rosaceae 	SPECIES	Glansbladet hæg
MST-DK-invasives-218	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-218	218			PRESENT	2016-10-17	2016	10	17	DK	56.36207989	9.689362416		Pacifastacus leniusculus, (Dana, 1852)	Animalia 	Arthropoda	Malacostraca 	Decapoda 	Astacidae	SPECIES	Signalkrebs
MST-DK-invasives-219	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-219	219			PRESENT	2016-10-03	2016	10	03	DK	55.45580146	12.17989164		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-220	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-220	220			PRESENT	2016-10-17	2016	10	17	DK	55.4822291	11.9947529		Rosa rugosa, Thunb.	Plantae 	Magnoliophyta 	Magnoliopsida 	Rosales	Rosaceae	SPECIES	Rynket rose
MST-DK-invasives-222	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-222	222			PRESENT	2016-10-17	2016	10	17	DK	55.5450342	9.612924648		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-224	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-224	224			PRESENT	2016-09-17	2016	09	17	DK	55.83832062	12.1767278		Arion vulgaris Moquin-Tandon, 1855	Animalia 	Mollusca 	Gastropoda 	Stylommatophora	Arionidae	SPECIES	Dræbersnegl
MST-DK-invasives-225	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-225	225			PRESENT	2016-10-17	2016	10	17	DK	55.5264829	9.190849836		Pacifastacus leniusculus, (Dana, 1852)	Animalia 	Arthropoda	Malacostraca 	Decapoda 	Astacidae	SPECIES	Signalkrebs
MST-DK-invasives-226	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-226	226			PRESENT	2016-10-17	2016	10	17	DK	54.81424319	11.4724579		Cygnus atratus, (Latham, 1790)	Animalia 	Chordata	Aves 	Anseriformes	Anatidae	SPECIES	Sort svane
MST-DK-invasives-228	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-228	228			PRESENT	2016-10-17	2016	10	17	DK	55.81934088	12.46802326		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-230	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-230	230			PRESENT	2016-10-07	2016	10	07	DK	55.68113435	12.47337682		Pacifastacus leniusculus, (Dana, 1852)	Animalia 	Arthropoda	Malacostraca 	Decapoda 	Astacidae	SPECIES	Signalkrebs
MST-DK-invasives-231	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-231	231			PRESENT	2016-10-16	2016	10	16	DK	56.03140254	10.18952001		Nyctereutes procyonoides, (Gray, 1834)	Animalia 	Chordata	Mammalia 	Carnivora	Canidae 	SPECIES	Mårhund
MST-DK-invasives-232	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-232	232			PRESENT	2016-09-29	2016	09	29	DK	55.33345781	10.53629945		Pacifastacus leniusculus, (Dana, 1852)	Animalia 	Arthropoda	Malacostraca 	Decapoda 	Astacidae	SPECIES	Signalkrebs
MST-DK-invasives-236	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-236	236			PRESENT	2016-10-18	2016	10	18	DK	56.12215226	8.35902684		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-239	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-239	239			PRESENT	2016-10-18	2016	10	18	DK	56.11449953	8.337694396		Rosa rugosa, Thunb.	Plantae 	Magnoliophyta 	Magnoliopsida 	Rosales	Rosaceae	SPECIES	Rynket rose
MST-DK-invasives-240	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-240	240			PRESENT	2016-10-19	2016	10	19	DK	56.34977813	9.53299667		Heracleum mantegazzianum, Sommier & Levier	Plantae 	Magnoliophyta 	Magnoliopsida 	Apiales	Apiaceae	SPECIES	Kæmpe-bjørneklo
MST-DK-invasives-242	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-242	242			PRESENT	2016-10-18	2016	10	18	DK	55.65707179	12.53707452		Harmonia axyridis, (Pallas, 1773)	Animalia 	Arthropoda 	Insecta 	Coleoptera	Coccinellidae 	SPECIES	Harlekinmariehøne
MST-DK-invasives-243	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-243	243			PRESENT	2016-10-20	2016	10	20	DK	55.08458774	14.71605734		Arion vulgaris Moquin-Tandon, 1855	Animalia 	Mollusca 	Gastropoda 	Stylommatophora	Arionidae	SPECIES	Dræbersnegl
MST-DK-invasives-244	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-244	244			PRESENT	2016-10-20	2016	10	20	DK	55.61991065	12.5833754		Reynoutria sachalinensis, (F. Schmidt ex Maxim.) Nakai	Plantae 	Magnoliophyta	Magnoliopsida 	Caryophyllales	Polygonaceae 	SPECIES	Kæmpe-pileurt
MST-DK-invasives-245	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-245	245			PRESENT	2016-10-21	2016	10	21	DK	55.36277391	9.204593662		Reynoutria sachalinensis, (F. Schmidt ex Maxim.) Nakai	Plantae 	Magnoliophyta	Magnoliopsida 	Caryophyllales	Polygonaceae 	SPECIES	Kæmpe-pileurt
MST-DK-invasives-246	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-246	246			PRESENT	2016-09-29	2016	09	29	DK	55.93671628	10.59076108		Rosa rugosa, Thunb.	Plantae 	Magnoliophyta 	Magnoliopsida 	Rosales	Rosaceae	SPECIES	Rynket rose
MST-DK-invasives-247	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-247	247			PRESENT	2016-10-21	2016	10	21	DK	55.66773671	12.09028632		Rosa rugosa, Thunb.	Plantae 	Magnoliophyta 	Magnoliopsida 	Rosales	Rosaceae	SPECIES	Rynket rose
MST-DK-invasives-248	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-248	248			PRESENT	2016-10-07	2016	10	07	DK	55.46102668	9.117027572		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-249	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-249	249			PRESENT	2016-10-21	2016	10	21	DK	56.39067137	10.14883448		Pacifastacus leniusculus, (Dana, 1852)	Animalia 	Arthropoda	Malacostraca 	Decapoda 	Astacidae	SPECIES	Signalkrebs
MST-DK-invasives-250	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-250	250			PRESENT	2016-08-25	2016	08	25	DK	55.31858939	8.84827133		Reynoutria sachalinensis, (F. Schmidt ex Maxim.) Nakai	Plantae 	Magnoliophyta	Magnoliopsida 	Caryophyllales	Polygonaceae 	SPECIES	Kæmpe-pileurt
MST-DK-invasives-260	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-260	260			PRESENT	2016-10-22	2016	10	22	DK	55.52287274	12.22050977		Rosa rugosa, Thunb.	Plantae 	Magnoliophyta 	Magnoliopsida 	Rosales	Rosaceae	SPECIES	Rynket rose
MST-DK-invasives-261	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-261	261			PRESENT	2016-10-22	2016	10	22	DK	55.52416052	12.22159135		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-262	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-262	262			PRESENT	2016-10-22	2016	10	22	DK	55.53159021	12.22897112		Rosa rugosa, Thunb.	Plantae 	Magnoliophyta 	Magnoliopsida 	Rosales	Rosaceae	SPECIES	Rynket rose
MST-DK-invasives-263	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-263	263			PRESENT	2016-08-27	2016	08	27	DK	56.06294377	8.978865009		Pacifastacus leniusculus, (Dana, 1852)	Animalia 	Arthropoda	Malacostraca 	Decapoda 	Astacidae	SPECIES	Signalkrebs
MST-DK-invasives-264	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-264	264			PRESENT	2016-10-25	2016	10	25	DK	56.083546	8.620857303		Arion vulgaris Moquin-Tandon, 1855	Animalia 	Mollusca 	Gastropoda 	Stylommatophora	Arionidae	SPECIES	Dræbersnegl
MST-DK-invasives-265	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-265	265			PRESENT	2016-10-25	2016	10	25	DK	56.07535997	8.618431487		Rosa rugosa, Thunb.	Plantae 	Magnoliophyta 	Magnoliopsida 	Rosales	Rosaceae	SPECIES	Rynket rose
MST-DK-invasives-266	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-266	266			PRESENT	2016-10-23	2016	10	23	DK	55.03132954	10.71555504		Rosa rugosa, Thunb.	Plantae 	Magnoliophyta 	Magnoliopsida 	Rosales	Rosaceae	SPECIES	Rynket rose
MST-DK-invasives-267	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-267	267			PRESENT	2016-10-25	2016	10	25	DK	55.6622577	12.63132345		Rosa rugosa, Thunb.	Plantae 	Magnoliophyta 	Magnoliopsida 	Rosales	Rosaceae	SPECIES	Rynket rose
MST-DK-invasives-268	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-268	268			PRESENT	2016-08-24	2016	08	24	DK	55.69712449	12.28942566		Reynoutria sachalinensis, (F. Schmidt ex Maxim.) Nakai	Plantae 	Magnoliophyta	Magnoliopsida 	Caryophyllales	Polygonaceae 	SPECIES	Kæmpe-pileurt
MST-DK-invasives-270	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-270	270			PRESENT	2016-10-26	2016	10	26	DK	55.90412942	11.52614912		Rosa rugosa, Thunb.	Plantae 	Magnoliophyta 	Magnoliopsida 	Rosales	Rosaceae	SPECIES	Rynket rose
MST-DK-invasives-271	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-271	271			PRESENT	2016-10-27	2016	10	27	DK	56.03609661	9.912771663		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-272	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-272	272			PRESENT	2016-10-28	2016	10	28	DK	55.3627607	9.204151884		Reynoutria sachalinensis, (F. Schmidt ex Maxim.) Nakai	Plantae 	Magnoliophyta	Magnoliopsida 	Caryophyllales	Polygonaceae 	SPECIES	Kæmpe-pileurt
MST-DK-invasives-273	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-273	273			PRESENT	2016-10-28	2016	10	28	DK	55.03260307	9.375740255		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-274	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-274	274			PRESENT	2016-10-30	2016	10	30	DK	56.41147099	9.012615156		Nyctereutes procyonoides, (Gray, 1834)	Animalia 	Chordata	Mammalia 	Carnivora	Canidae 	SPECIES	Mårhund
MST-DK-invasives-276	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-276	276			PRESENT	2016-10-19	2016	10	19	DK	56.17091866	10.17242791		Reynoutria sachalinensis, (F. Schmidt ex Maxim.) Nakai	Plantae 	Magnoliophyta	Magnoliopsida 	Caryophyllales	Polygonaceae 	SPECIES	Kæmpe-pileurt
MST-DK-invasives-277	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-277	277			PRESENT	2016-11-04	2016	11	04	DK	55.4822314	11.99474155		Rosa rugosa, Thunb.	Plantae 	Magnoliophyta 	Magnoliopsida 	Rosales	Rosaceae	SPECIES	Rynket rose
MST-DK-invasives-278	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-278	278			PRESENT	2016-11-13	2016	11	13	DK	54.8612092	9.498653371		Cygnus atratus, (Latham, 1790)	Animalia 	Chordata	Aves 	Anseriformes	Anatidae	SPECIES	Sort svane
MST-DK-invasives-279	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-279	279			PRESENT	2016-11-15	2016	11	15	DK	55.48894029	9.136968423		Prunus serotina, Ehrh.	Plantae 	Magnoliophyta 	Magnoliopsida 	Rosales 	Rosaceae 	SPECIES	Glansbladet hæg
MST-DK-invasives-283	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-283	283			PRESENT	2016-11-30	2016	11	30	DK	56.92438811	10.02101993		Neovison vison, (Schreber, 1777)	Animalia 	Chordata 	Mammalia 	Carnivora 	Mustelidae 	SPECIES	Mink
MST-DK-invasives-286	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-286	286			PRESENT	2016-12-24	2016	12	24	DK	55.12854921	14.8645927		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-287	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-287	287			PRESENT	2016-10-21	2016	10	21	DK	56.38444354	9.065881442		Pacifastacus leniusculus, (Dana, 1852)	Animalia 	Arthropoda	Malacostraca 	Decapoda 	Astacidae	SPECIES	Signalkrebs
MST-DK-invasives-288	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-288	288			PRESENT	2017-01-16	2017	01	16	DK	54.86001125	10.51840018		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-290	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-290	290			PRESENT	2017-02-12	2017	02	12	DK	55.82239324	12.56798535		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-291	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-291	291			PRESENT	2017-02-27	2017	02	27	DK	55.95988139	11.7591189		Reynoutria japonica Houtt.	Plantae 	Magnoliophyta 	Magnoliopsida	Caryophyllales 	Polygonaceae	SPECIES	Japansk pileurt
MST-DK-invasives-296	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-296	296			PRESENT	2017-03-06	2017	03	06	DK	55.65419688	12.13324497		Solidago canadensis, L.	Plantae 	Magnoliophyta	Magnoliopsida 	Asterales	Asteraceae 	SPECIES	Canadisk gyldenris
MST-DK-invasives-297	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-297	297			PRESENT	2016-07-15	2016	07	15	DK	55.83430207	8.887024673		Lysichiton americanus, Hultén & H. St. John	Plantae 	Magnoliophyta 	Liliopsida 	Alismatales 	Araceae 	SPECIES	Gul kæmpekalla
MST-DK-invasives-298	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-298	298			PRESENT	2017-03-08	2017	03	08	DK	56.20347136	10.57366011		Nyctereutes procyonoides, (Gray, 1834)	Animalia 	Chordata	Mammalia 	Carnivora	Canidae 	SPECIES	Mårhund
MST-DK-invasives-301	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-301	301			PRESENT	2017-02-23	2017	02	23	DK	55.5733552	9.664646973		Nyctereutes procyonoides, (Gray, 1834)	Animalia 	Chordata	Mammalia 	Carnivora	Canidae 	SPECIES	Mårhund
MST-DK-invasives-302	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-302	302			PRESENT	2016-07-01	2016	07	01	DK	55.76301545	12.50013971		Arion vulgaris Moquin-Tandon, 1855	Animalia 	Mollusca 	Gastropoda 	Stylommatophora	Arionidae	SPECIES	Dræbersnegl
MST-DK-invasives-304	https://creativecommons.org/licenses/by/4.0/	MST	MST	DK-invasives	HumanObservation	MST-DK-invasives-304	304			PRESENT	2016-08-09	2016	08	09	DK	54.96871535	10.83821653		Arion vulgaris Moquin-Tandon, 1855	Animalia 	Mollusca 	Gastropoda 	Stylommatophora	Arionidae	SPECIES	Dræbersnegl
